id,date,time,content,first_name,last_name,status,slug,type
4271,13-12-18,21:35:47,"Neil has been a professional singer for over forty years. Having sung in the choirs of Westminster Abbey and King‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s College Cambridge he made his solo debut in October 1967, and sang and recorded with the Deller Consort, under the direction of Alfred Deller, for ten years, whilst establishing himself as an opera singer at Kent Opera. In the 1970s he was appointed as an RCM singing professor by Sir David Willcocks, for whom he became a regular soloist with the Bach Choir, especially in the Bach Passions. He became equally at home as an Operatic, Oratorio and Recital singer; and combined this with an increasingly important role as a musicologist. Neil has translated and edited all of Bach‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s major choral works for the New Novello Choral Edition, &amp; Haydn‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰ä_Seasons‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´ &amp; ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰ä_Creation‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´ for King‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Music. He has produced several song albums for OUP &amp; Kevin Mayhew Ltd. He is now researching the lives of Handel‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s English singers, and has published the biography of John Beard, the great 18th century tenor who worked with Handel, Arne and David Garrick.

Neil has sung with all of Britain‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s leading opera companies, and was associated with Kent Opera, Scottish Opera, WNO &amp; Glyndebourne for many years. His performances in Kent Opera‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s King Priam &amp; Glyndebourne Festival‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Lulu and Higglety Pigglety Pop are available on video. He worked for WNO for 30 years, commencing as Count Almaviva to Thomas Allen‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Figaro in the early 1970s; and was with them most recently for a production of Verdi‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Falstaff, starring Bryn Terfel, which was televised. Neil has been honoured by the Worshipful Company of Musicians with the presentation of the Sir Charles Santley Memorial Award for his achievements in his career.

2007 marked the 40th anniversary of his London debut, which he celebrated with his various choirs. He is Music Director of the Sussex Chorus &amp; the Neil Jenkins Chorale, and is President of the Haywards Heath Music Society, Grange Choral Society, Shoreham Oratorio Choir, Basildon Choral Society, Kent Chorus, as well as being Patron of the Goldsmiths Choral Union. Neil is in demand as an Adjudicator at competitive festivals, and as a Masterclass tutor at venues such as Jackdaws.",Neil,Jenkins,publish,neil-jenkins,page
4273,13-12-18,21:36:39,"Penny has performed opera and oratorio throughout Europe, has broadcast for the BBC and recorded solos with the Oriana Consort, the Brighton Chamber Choir and the Neil Jenkins Chorale. She now concentrates on teaching singing to people of all ages and abilities, and loves her classes for adult singers (such as the ones at ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰öÇJackdaws‰Û_ÌãÌ_‰ö_ÌÔ‰ö_ìÛ) called Discover Your Voice, as well as her work with juniors calledReady, Steady, Sing! She has twice been Musician in Residence for theJackdaws Educational Trust in Somerset, working with primary and secondary school children on large-scale choral works.

For ten years she was a tutor at Summer Music, where she got to know Steven Rickards. She is now co-director, with him, of the Vocal Arts Institute at the University of Indianapolis. She has successfully trained pupils for Choral Scholarships at Oxford &amp; Cambridge colleges and places at London‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s music colleges. In recent years she has been working as a vocal coach in the world of film &amp; television, notably the Edinburgh Festival &amp; Cannes success: The Great Ecstasy of Robert Carmichael. She was also seen training the priest to sing in Channel 4‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´sPriest Idol. She is much in demand as a Festivals Adjudicator.",Penny,Jenkins,publish,penny-jenkins,page
4275,13-12-18,21:40:48,"Terence Allbright was born in Northampton; as a tiny tot he taught himself to play the piano by ear and to improvise, and he learned to read music at the age of 12 while preparing to be Mabel in his school production of <em>The Pirates of Penzance</em>. Later, he took organ lessons from John Bertalot and Graham Mayo, and began to compose. He studied piano with John Bigg in London while he was a student at both the Royal College of Music and the Royal School of Church Music, and then went up to Cambridge as Organ Scholar at Jesus College, where he had composition lessons with oriental musicologist Laurence Picken.

For many years he regularly visited South-East Asia, accompanying song recitals with ex-fellow student Violet Chang, also playing occasionally at Wigmore Hall and at the Purcell Room - where his piano compositions were premiered by John Bigg. Other compositions from this time include about 50 incidental music scores for BBC Radio Drama. As well as teaching piano in London Schools, Terence became joint Head of Piano (with John Bigg) at the ILEA's Centre for Young Musicians, and Piano Organiser for the Authority. After moving to Petworth he was briefly Director of Music at Seaford College, conductor of the Fernhurst Choral Society, and for 8 years Artistic Director of the Petworth Festival.

As well as being involved since the age of 12 with chamber music for strings and piano, Terence has been very fortunate in his song recital partners, working especially with Ann Murray DBE and baritone Stephen Roberts, with Dame Felicity Lott, Jane Manning OBE, Jacquelyn Fugelle, Susan Legg, Neil Jenkins, Andrew Mackenzie-Wicks and Giles White. He has also given many words-and-music recitals especially with Gabriel Woolf and Susan Jameson - and with the late Jill Balcon who was a regular partner for many years. His solo repertoire stretches from the 16th century to the present, and he has recently given two complete performances of Reynaldo Hahn's <em>Le Rossignol Eperdu</em> - ""a marathon and a world first"" according to Hahn Association President Jean-Christophe Etienne.

Recent compositions include <em>Grave & Harmonious Music</em> for string orchestra, <em>...isms</em> for piano, and a <em>Piano Trio</em>, and he is currently working on <em>Narratives & Rituals</em> for two pianos and percussion. He teaches piano at Chichester University.",Terence,Allbright,publish,terence-allbright,page
4278,13-12-18,21:31:59,"Eugene studied at the Mannes College of Music, New York with Jeannette Haien where he earned his BMus and MA and subsequently at the Guildhall School of Music and Drama in London where he studied piano accompaniment with Graham Johnson. Eugene now teaches at the Guildhall School of Music and Drama and is Vocal Accompaniment Coordinator at Trinity College of Music. He regularly gives masterclasses both in the UK and abroad.

Much in demand as an accompanist, he has performed with many great artists including Dame Felicity Lott, Dame Margaret Price, Sir Willard White and Angelika Kirschschlager in places such as the Wigmore Hall, the Barbican, the Musikverein in Vienna, Mariinsky Theatre in St Petersburg, the Concertgebouw in Amsterdam, the K‰Û_ÌÊÌ_‰Û_ÌÊÌàlner Philharmonie, the Megaron in Athens, the Palais des Beaux-Arts in Brussels, Symphony Hall in Birmingham and both Alice Tully Hall and Carnegie Hall in New York.

He also works regularly with many of the leading young recitalists of today including Sarah Connolly, Sophie Daneman, Susanna Andersson, Alison Buchanan, Rebecca Evans, Susan Gritton, Sophie Karth‰Û_ÌÊÌ_åÂÌÙuser, Stephan Loges and James Rutherford.

He has done much recording work for the BBC, having featured regularly on Radio 3‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰öÇVoices‰Û_ÌãÌ_‰ö_ÌÔ‰ö_ìÛ programme with Sarah Connolly, Sophie Daneman, Rebecca Evans, Susan Gritton, Jared Holt, Christine Rice, Stephan Loges, Kate Royal, and James Rutherford.
In 2009 he devised a recital series to honour the anniversary of Felix Mendelssohn, for London‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s newly opened concert venue King‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Place. He has also completed an edition of Mendelssohn songs for B‰Û_ÌÊÌ_åÂÌÙrenreiter which was published in 2008.

Recent highlights include concerts at the Mariinsky Theatre in St Petersburg with Sir Willard White, recitals with Sophie Karth‰Û_ÌÊÌ_åÂÌÙuser at Carnegie Hall in New York, Haydn Festival in Br‰Û_ÌÊÌ_åÂ‰öÇhl and the Festival Musical de Namur, concerts with Dame Felicity Lott and Sir Thomas Allen at the Deal Festival and at St Jude's on the Hill in Hampstead and a recital with Sarah Connolly at the Oxford Lieder Festival. Forthcoming plans include recitals with Sir Thomas Allen and Dame Felicity Lott at the Wigmore Hall and at the Ehrbar Saal in Vienna.

His many recordings for Hyperion include songs and duets by Felix and Fanny Mendelssohn and the complete songs of Clara Schumann, all receiving much critical acclaim.

Other recordings include a live recital disc with Sarah Connolly for Signum Records that has been widely praised, the complete Mozart songs with Sophie Karth‰Û_ÌÊÌ_åÂÌÙuser and Stephan Loges for Cypr‰Û_ÌÊÌ_åÂÌ s, and most recently a disc of Schumann Lieder entitled Songs of Love and Loss with Sarah Connolly for Chandos. Future releases include a recital of English song for BIS with James Rutherford.

In 2009 Eugene became an official Steinway artist.",Eugene,Asti,publish,eugene-asti,page
4280,13-12-18,21:26:18,"Ansy was a choral scholar at Trinity College Cambridge before studying singing at the RCM. In oratorio she has appeared at the QEH. She works regularly with Mayfield Chamber Opera and has toured the UK, France and USA with London City Opera. Ansy sings the Soul in Hildegard von Bingen‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Ordo Virtutum with ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰ä_Vox Animae‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´; and she was a visiting tutor for Sheffield University‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s production of the work. She enjoys performing jazz standards with Jazzmatazz. Ansy is also a professional potter and sculptor.",Ansy,Boothroyd,publish,ansy-boothroyd,page
4283,13-12-18,21:34:27,"Margaret, in her long &amp; varied career has sung at the major music Festivals throughout the world including Lucerne, Utrecht, Edinburgh, Aldeburgh, Three Choirs and the Proms. Her recordings range from madrigals to songs by Glazunov. More recently she has become associated with the revival of authentic Baroque performance in a series of recordings, directed by Andrew Parrott, including acclaimedMessiah &amp; Vivaldi discs. Margaret is a Fellow of the RCM where she taught for over 40 years and was head of vocal studies. She now combines a busy teaching schedule with examining &amp; adjudicating.",Margaret,Cable,publish,margaret-cable,page
4285,13-12-18,21:27:42,"Christopher is a graduate in Modern Languages and History of Art from Cambridge University. His first work as a director was with students at the Royal Academy of Music and with the recent graduates and young professionals of British Youth Opera.

Internationally, his work has taken him to Chicago Opera Theater forSemele, and Il Viaggio a Reims, to Den Ny Opera in Denmark forOrlando, Don Pasquale, Il Turco in Italia, Rinaldo, Le Nozze di Figaroand Cosi fan tutte and to ‰Û_ÌÊÌ_‰ö_Ì±rhus for their Sommeropera‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s production ofElskovsdrikken. In Copenhagen he directed the inaugural production of the Copenhagen Opera Festival, Opera i Underverden, and he has directed Donizetti‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Rita, Bizet‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Le Docteur Miracle and Offenbach‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´sDen Forvandlede Kat for Den Rullende Opera. He has also directed Une Education Manqu‰Û_ÌÊÌ_åÂå©e and Il Campanello for the Azuriales Festival in Nice. For Opera Akademiet in Copenhagen he has directed Il Tabarro, Cosi fan Tutte and Walton‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s The Bear. Other productions with Danish opera students include Suor Angelica, Gianni Schicchi and Riders to the Sea. In the Republic of Ireland he has directed Carmen for the opera in Cork.

During 1998 and 1999 he worked with Peter Brook and Claudio Abbado at the Festival d‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´Aix-en-Provence and on the subsequent world tour ofDon Giovanni. He has been to De Vlaamse Opera in Antwerp to assist on King Priam. 2008 saw his main-house d‰Û_ÌÊÌ_åÂå©but at the Royal Opera House, Covent Garden, directing Rolando Villazon in a revival of Les Contes d‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´Hoffmann.

In 1995 he was invited to join the team of directors at Glyndebourne. With their touring company he has directed La Traviata, Le Comte Oryand Rodelinda and assisted on La Boh‰Û_ÌÊÌ_åÂÌ me, Deborah Warner‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s controversial production of Don Giovanni, and Le Nozze di Figaro. During the Festival seasons he has assisted some of the best-known names in opera, starting with Tom Cairns on Harrison Birtwistle‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s The Second Mrs. Kong and continuing with Graham Vick on The Queen Of Spades.

In subsequent years he has worked on Lulu, again with Graham Vicka and on Britten‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Owen Wingrave. At English National Opera he has assisted on King Priam and at The Royal Opera House, Covent Garden on John Copley‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s La Boh‰Û_ÌÊÌ_åÂÌ me. The Royal Opera House also commissioned a new translation and adaptation of La Cenerentola, which he directed in the Linbury Theatre in 2001.

Alongside this work, he has maintained his freelance directing career with productions of Agrippina, Poro, Re dell‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´Indie and Atalanta for the London Handel Festival, Idomeneo for the Royal Scottish Academy,The Magic Flute for British Youth Opera, Madama Butterfly and Carmenfor Castleward Opera, The Fairy Queen, Malcolm Williamson‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s English Eccentrics, Delibes‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´ Le Roi l‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´a Dit, Lennox Berkely‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s A Dinner Engagement, Lortzing‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s The Opera Rehearsal, Benjamin‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Prima Donna, Vaughan Willams‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´ Riders to the Sea, Von Supp‰Û_ÌÊÌ_åÂå©'s Ten Belles without a Ring and Offenbach's La P‰Û_ÌÊÌ_åÂå©richole for Morley Opera, La Boh‰Û_ÌÊÌ_åÂÌ me and Cos‰Û_ÌÊÌ_åÂå¨ Fan Tutte for the Covent Garden Festival, Falstaff for Pegasus Opera, La Rondine and Dido and Aeneas for City Opera, Weber‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Die Drei Pintos for Opera Omnibus, Eugene Onegin for Nonsuch Opera, The Magic Flute with Island Opera, Carmen at the Gaiety Theatre, Douglas, Don Pasquale with Operattic and many others.

In the earlier part of his career he forged the beginning of a long-term association with Surrey Opera, for whom he has directed Hansel and Gretel, Faust, Die Fledermaus, Turandot and The Flying Dutchman. He is now their Associate Artistic Director. As a teacher, he held a professorship on the Technical Theatre Course at the Guildhall School of Music and Drama from 1982 to 1999 and has worked as a visiting lecturer at the Slade School of Fine Art and at Croydon Design College as well as on summer schools for Opera 80.

2009 saw his fourth year directing for Irish Vocal Masterclasses in Dublin. In Ikast he has been director for two Opera Workshop weeks produced by Musikdramatisk Teater and worked with singers participating in Ikast's Unge Sangere competition. He is a regular tutor on the Theatre Foundation Course and the Technical Theatre course at the London Academy of Music and Dramatic Art.

His linguistic training has been used to advantage in the preparation of performing translations of opera in English; The Coronation of Poppea, Carmen and Orfeo for English National Opera, Faust, The Flying Dutchman and Ariadne on Naxos, which have been recorded by Chandos, as well as La Rondine, La P‰Û_ÌÊÌ_åÂå©richole, Agrippina, The Magic Flute and Tamerlano for various companies. He translated all the works for Graham Vick‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Birmingham Opera Company Monteverdi cycle; Il Ballo delle Ingrate, Il Ritorno d‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´Ulisse, Il Combattimento di Tancredi e Clorinda. He regularly contributes aria translations for recital discs by singers such as Sir Thomas Allen, Jennifer Larmore, Gerald Finley, Diana Montagu and Christine Brewer.",Christopher,Cowell,publish,christopher-cowell,page
4287,13-12-18,21:37:39,"Robert was Artistic Director and Chorus Master of London's famous Philharmonia Chorus from 1988 - 2007. He also has a busy freelance career conducting opera and concerts at home and abroad. He takes choral workshops throughout the country where the emphasis lies on healthy vocal techniques to provide a quality sound. He is much sought after as a voice teacher and coach, and is a Professor of Singing at the Guildhall School of Music and Drama as well as a guest vocal coach for the National Opera Studio.",Robert,Dean,publish,robert-dean,page
4289,13-12-18,21:28:32,"Born in Ottawa, Canada, Daniel studied English and drama at the universities of Toronto and London. He is a Staff Director at the Royal Opera House, Covent Garden, and has worked extensively in Britain and Europe.

He has directed major revivals at Covent Garden (Rigoletto, Cos‰Û_ÌÊÌ_‰Û_Ì¢‰ÛÊ fan tutte, La traviata, Simon Boccanegra, Don Pasquale, Un ballo in maschera, L‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´elisir d‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´amore, Fidelio), La Scala (Lohengrin), Glyndebourne (Owen Wingrave, K‰Û_ÌÊÌ_åÂ‰ö_t‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´a Kabanov‰Û_ÌÊÌ_åÂ‰ö_, The Makropulos Case, Jen?fa, Tristan und Isolde), ENO (Parsifal) and the Canadian Opera Company (Cos‰Û_ÌÊÌ_‰Û_Ì¢‰ÛÊ fan tutte). In July 2011 he co-directed Nikolaus Lehnhoff‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s production of Elektra at the Salzburg Festival.",Daniel,Dooner,publish,daniel-dooner,page
4292,13-12-18,21:34:50,"Michael has been accompanying singers for over 40 years, from folk song, jazz and rock to lute and continuo songs, most notably in his long-standing partnership with soprano Evelyn Tubb and encounters with artists from Emma Kirkby to Van Morrison. He directs the ensemble, Vox Animae, is Musical Director of Sastamala Gregoriana Early Music Festival in Finland, and has conducted and directed baroque operas in many parts of the world.",Michael,Fields,publish,michael-fields,page
4294,13-12-18,21:33:11,"Hilary read music at The University of East Anglia and studied singing at The Royal Academy of Music. She began her career recording and broadcasting with The Ambrosian Singers and is now principally an oratorio soloist appearing with many UK choral societies. In Recital she works with pianist Adrian Hobbs presenting programmes ranging from classical to light repertoire. Together they were finalists in the 2004 Lotte Lehmann Cybersing Artsong Competition.

On the operatic stage she has played Mrs. Peachum in Central Festival Opera‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s production of The Beggar‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Opera., Mrs. Jedermann in‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰öÇScoring a Century for the Lillian Baylis project at ENO and principal roles with Opera Viva, Abbey Opera and Chelsea Opera Group.

For ten years, Hilary toured with her trio Cavatina throughout the UK, Channel Islands and Eire. In 1995 she took her original one-woman cabaret ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_‰öÇA Chorus of One‰Û_ÌãÌ_‰ö_ÌÔ‰ö_ìÛ directed by Keith Warner to the Edinburgh Fringe. She now tours for the Arts Council Rural Touring Forum with Flamin' Dames. She has a private teaching practice in South West London and is on the staff of AIMS International Music School.",Hilary,Fisher,publish,hilary-fisher,page
4296,13-12-18,21:33:35,"Jacquelyn Fugelle is one of the most versatile sopranos of her generation performing in opera, operetta, oratorio and recital. She studied at the Guildhall School of Music and in Vienna and Rome and was a prize winner in the Kathleen Ferrier Memorial Competition.
She gave her operatic debut at the Royal Opera House, Covent Garden as Arbate in Mozart`s `Mitridate` to wide critical acclaim and went on to perform other lead roles in London and Italy.

Oratorio performances include Elijah at St Paul`s Cathedral conducted by Kurt Masur and over forty concerts at the Royal Festival Hall and Queen Elizabeth Hall including Elgar`s `The Kingdom` and Brahms` Requiem. She has performed in virtually every country in Europe including Bach`s B Minor Mass in St Mark`s, Venice and Handel`s Solomon at the Meistersingers Hall, Nuremburg.

Jacquelyn has given over seventy broadcasts for BBC Radio 2 and 3 including a live broadcast from the Mermaid Theatre in London together with her daughter, West End musical theatre singer Abigail Jaye with the BBC Concert orchestra. Television appearances include broadcasts in Hilversum, Stockholm, Rome, Hungary and for ITV. Jacquelyn frequently performs in classical and music theatre entertainment for her company Chocolate Box Opera. More information from <a href=""http://www.jacquelynfugelle.com/"">www.JacquelynFugelle.com</a>.",Jacquelyn,Fugelle,publish,jacquelyn-fugelle,page
4298,13-12-18,21:41:01,"Theresa Goble, Mezzo ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å¬Soprano, was born in Portsmouth and studied singing at the Guildhall School of Music and Drama and the National Opera Studio, London. She has appeared with major opera companies in the UK, including English National Opera, Scottish Opera and Opera Holland Park. She has recorded with the Royal Philharmonia and Opera Rara and was the mezzo soloist for the BBC History Series,Conquistadors.

She has performed throughout Europe, toured America singing the title role in Bizet‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Carmen and made her concert debut in Indianapolis at the Bruckner Fest. In February 2008 she presented a series of concerts in Virginia USA of early American Music in conjunction with the International Center for Jefferson Studies at Monticello and recorded a CD of music associated with Thomas Jefferson.

Theresa is also an Internationally acclaimed voice teacher in great demand. In 1990 she was invited to join the staff of the Guildhall as a Professor of Vocal Studies. She represented the United Kingdom conservatories in a series of international masterclasses for the Montepulciano Opera Festival, as part of a European Union led project with students from the Paris Conservatoire, K‰Û_ÌÊÌ_‰Û_ÌÊÌàln Hochschule, Guildhall School of Music &amp; Drama, and the Vienna Hochschule. A documentary for German TV was made of the project.

For a number of years Theresa has taught at AIMS International Music School. She is frequently engaged as an examiner, audition panelist and adjudicator. Theresa‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s own insight‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s as performer and teacher draw on traditional Bel Canto technique as well as educational kinesiology, Brain Gym, and inner game principles. She recently completed a two year research project to assess the effectiveness of the use of Educational Kinesiology in assisting the learning of the developing musician during conservatoire study.",Theresa,Goble,publish,theresa-goble,page
4300,13-12-18,21:38:29,"Robert was a chorister at King‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s College Cambridge under the direction of Boris Ord. He later won a Music Scholarship to King‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Canterbury, and then proceeded to Magdalen College, Oxford where he was a Choral Scholar under Bernard Rose.

As a principal tenor at Guildford Cathedral he sang solos on the platinum disc Carols from Guildford Cathedral. He inaugurated the Music Department at Guildford Technical College and was the first conductor of the national youth string players Pro Corda. In 1971 he became Musical Director of the Schola Cantorum of Oxford, working alongside Marriner, Tippett and Norrington. Maintaining his career as a tenor soloist he also sang with the Monteverdi Choir.

As Lecturer in Music at Bournemouth University he established Opera South. He was later appointed Director of Music to the largest school in the country at that time, Lord Williams‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´ School, Thame. Robert is about to retire from the post of Director of Music, Ardingly College and can now involve himself fully in the exciting AIMS venture.",Robert,Hammersley,publish,robert-hammersley,page
4302,13-12-18,21:33:47,"John has enjoyed an illustrious career in the world of opera, oratorio, recitals and consort singing. He has performed roles with the Royal Opera, WNO, Glyndebourne and Kent Opera. He has an established reputation as a choral director, and voice teacher. He is Music director of the East Sussex Bach Choir and Eastbourne Choral Society, and is co-director of the Brighton Early Music Festival Singers. He is on the staff at Trinity College of Music and and is head of vocal studies at Christ‰Û_ÌãÌ_‰ö_ÌÔ‰ö_å´s Hospital.",John,Hancorn,publish,john-hancorn,page
